track_id,channel,sequence,timestamp_s,frequency_hz,psd_db
30,2,15,1782148671.784674,4652.8076171875,-88.40015411376953
30,2,16,1782148710.832058,4652.5009765625,-88.3360595703125
30,2,17,1782148749.795287,4650.740234375,-86.53945922851562
30,2,18,1782148788.763972,4650.5869140625,-86.31929016113281
30,2,19,1782148827.49019,4650.36572265625,-86.07878112792969
30,2,20,1782148866.351996,4650.9619140625,-86.94908142089844
30,2,21,1782148905.686078,5148.7998046875,-86.81217193603516
30,2,22,1782148944.838435,5148.4833984375,-86.68949127197266
30,2,23,1782148983.442225,5148.373046875,-86.68965148925781
30,2,24,1782149022.512289,5368.798828125,-85.62277221679688
30,2,25,1782149061.288065,5368.81103515625,-85.61825561523438
30,2,26,1782149099.963662,5448.58837890625,-84.1646728515625
30,2,27,1782149138.994458,5448.7822265625,-84.49111938476562
30,2,28,1782149178.158596,5499.50146484375,-83.78385925292969
31,2,7,1782148360.082275,5643.42578125,-86.48693084716797
31,2,8,1782148399.095252,5643.2099609375,-86.328125
31,2,9,1782148438.008428,5643.24169921875,-86.51724243164062
31,2,10,1782148476.886395,5643.4072265625,-87.31842803955078
31,2,11,1782148515.646499,5643.5185546875,-88.40412139892578
31,2,12,1782148554.831265,5643.42236328125,-89.45790100097656
31,2,13,1782148594.1207,5643.6640625,-90.6241683959961
31,2,14,1782148632.975721,5344.3564453125,-89.58580780029297
31,2,15,1782148671.784674,5153.22900390625,-88.62762451171875
31,2,16,1782148710.832058,5152.95654296875,-88.5880355834961
31,2,17,1782148749.795287,5150.52783203125,-87.42786407470703
31,2,18,1782148788.763972,5150.29931640625,-87.28165435791016
31,2,19,1782148827.49019,5150.15283203125,-87.14239501953125
31,2,20,1782148866.351996,5448.82470703125,-89.2506332397461
31,2,21,1782148905.686078,5648.771484375,-90.57525634765625
31,2,22,1782148944.838435,5648.46533203125,-90.5655746459961
31,2,23,1782148983.442225,5648.3896484375,-90.56542205810547
32,2,7,1782148360.082275,6442.34033203125,-89.05838775634766
32,2,8,1782148399.095252,6442.20654296875,-88.23088073730469
32,2,9,1782148438.008428,6442.29736328125,-88.1795425415039
32,2,10,1782148476.886395,6442.36328125,-88.80604553222656
32,2,11,1782148515.646499,6442.4072265625,-89.41437530517578
32,2,12,1782148554.831265,6442.30078125,-89.87244415283203
32,2,13,1782148594.1207,6142.95654296875,-93.30880737304688
32,2,14,1782148632.975721,5943.6220703125,-92.00504302978516
32,2,15,1782148671.784674,5653.59375,-92.26942443847656
32,2,16,1782148710.832058,5653.20068359375,-92.1730728149414
32,2,17,1782148749.795287,5650.48291015625,-90.84759521484375
32,2,18,1782148788.763972,5650.205078125,-90.71072387695312
32,2,19,1782148827.49019,5650.1845703125,-90.60888671875
32,2,20,1782148866.351996,5951.033203125,-92.32730102539062
32,2,21,1782148905.686078,6447.8212890625,-90.61363983154297
32,2,22,1782148944.838435,6447.46240234375,-90.50251007080078
32,2,23,1782148983.442225,6447.44287109375,-90.50032043457031
32,2,24,1782149022.512289,6221.94677734375,-89.87664794921875
32,2,25,1782149061.288065,6300.02978515625,-89.27680206298828
32,2,26,1782149099.963662,6300.03125,-89.27086639404297
32,2,27,1782149138.994458,6445.041015625,-89.24488067626953
32,2,28,1782149178.158596,6444.767578125,-88.63772583007812
33,2,7,1782148360.082275,6941.8369140625,-88.13442993164062
33,2,8,1782148399.095252,6941.6669921875,-87.46156311035156
33,2,9,1782148438.008428,6941.6962890625,-87.3451919555664
33,2,10,1782148476.886395,6941.78271484375,-88.02872467041016
33,2,11,1782148515.646499,6941.85498046875,-88.87348937988281
33,2,12,1782148554.831265,6941.77490234375,-89.57284545898438
33,2,13,1782148594.1207,6941.97119140625,-90.5074691772461
33,2,14,1782148632.975721,6942.22314453125,-90.97069549560547
33,2,15,1782148671.784674,6443.37353515625,-92.17070770263672
33,2,16,1782148710.832058,6453.7607421875,-92.099609375
